predicate,ontology_prefix,ontology_predicate
title,odi,hasName
alternative_title,dcterms,alternativeTitle
publication_year,odi,hasDate
location_created,schema,locationCreated
current_card_count,odi,hasCurrentNumberOfCards
original_card_count,odi,hasOriginalNumberOfCards
deck_lineage_id,dcterms,isVersionOf
publisher,dcterms,publisher
source_url,dcterms,source
card_number,odi,isNumber
image_url,odi,hasImage
person_portrait_url,schema,image
current_location,odi,hasCurrentLocation
author_id,odi,hasAuthor
illustrator_id,smt,hasIllustrator
contained_in_deck_id,odi,isContainedIn
arcana_type,rdf,type
suit_id,smt,hasSuit
given_name,foaf,givenName
family_name,foaf,familyName
nationality,schema,Nationality
birth_year,schema,birthDate
death_year,schema,deathDate
dates_display,rdfs,comment
minor_arcana_type,"rdf ",type
archetype_id,smt,represents
symbolic_figure_id,smt,containsSymbol
label,skos,prefLabel
alt_title,skos,altLabel
broader_archetype_id,skos,broader
archetype_number,smt,hasNumber
lineage_label,rdfs,label
person_portrait_url,schema,image
